cliente_id,nombre_cliente,segmento_cliente,ciudad,edad,ingreso_estimado,total_productos,lista_productos,saldo_total,consumo_total_tc,cupo_total_tc,dias_venc_minimo,canales_usados,n_productos_distintos,es_multiproducto,utilizacion_tc_pct,lover_type,categoria_dominante
C000001,Cliente 0001,Affluent,Guayaquil,37,5885.36,11,"Crédito de Consumo, Tarjeta de Crédito",39838.74,3384.12,62000.0,405.0,"App, Branch, POS, Web",2,True,5.5,Tech Lover,Technology
C000002,Cliente 0002,PyME,Loja,55,651.61,8,"Crédito Hipotecario, Tarjeta de Crédito",221386.39999999997,211.32999999999998,4000.0,1017.0,"App, Branch, POS, Web",2,True,5.3,Lifestyle Lover,Fuel
C000003,Cliente 0003,Affluent,Manta,31,2471.02,7,Tarjeta de Crédito,14949.83,1040.8999999999999,46200.0,636.0,"App, Branch, POS, Web",1,False,2.3,Food & Supermarket Lover,Food
C000004,Cliente 0004,Mass,Guayaquil,53,2186.7,3,Cuenta de Ahorros,9049.17,0.0,0.0,,"App, Branch, Web",1,False,,Sin Perfil de Consumo,N/A
C000005,Cliente 0005,Premium,Manta,45,3223.56,2,"Crédito de Consumo, Cuenta de Ahorros",28997.68,0.0,0.0,404.0,"ATM, Web",2,True,,Sin Perfil de Consumo,N/A
C000006,Cliente 0006,Affluent,Manta,38,898.59,7,"Crédito Vehicular, Crédito de Consumo, Tarjeta de Crédito",34387.58,208.55,5600.0,1090.0,"ATM, App, Branch, POS, Web",3,True,3.7,Tech Lover,Technology
C000007,Cliente 0007,Affluent,Quito,49,2302.95,8,Tarjeta de Crédito,12801.6,844.6400000000001,51200.0,1119.0,"App, POS, Web",1,False,1.6,Travel Lover,Travel
C000008,Cliente 0008,PyME,Ambato,44,3050.52,19,"Crédito Hipotecario, Crédito de Consumo, Cuenta Corriente, Tarjeta de Crédito",151593.53,2658.98,74400.0,1163.0,"App, Branch, POS, Web",4,True,3.6,Food & Supermarket Lover,Food
C000009,Cliente 0009,Joven,Quito,36,350.0,18,"Crédito de Consumo, Cuenta Corriente, Cuenta de Ahorros, Tarjeta de Crédito",13745.0,204.12,4000.0,487.0,"ATM, App, Branch, POS, Web",4,True,5.1,Entertainment & Streaming Lover,Entertainment
C000010,Cliente 0010,Mass,Quito,45,695.13,16,"Crédito de Consumo, Tarjeta de Crédito",13002.84,640.9499999999999,28000.0,466.0,"App, Branch, POS, Web",2,True,2.3,Health & Wellness Lover,Health
C000011,Cliente 0011,Mass,Guayaquil,36,964.58,4,Cuenta Corriente,16657.64,0.0,0.0,,"ATM, App, Branch, Web",1,False,,Sin Perfil de Consumo,N/A
C000012,Cliente 0012,Mass,Cuenca,33,929.56,10,"Crédito Hipotecario, Tarjeta de Crédito",138989.21,299.65999999999997,9800.0,521.0,"App, Branch, POS, Web",2,True,3.1,Entertainment & Streaming Lover,Streaming
C000013,Cliente 0013,Mass,Quito,47,720.55,11,"Crédito Hipotecario, Cuenta Corriente, Tarjeta de Crédito",158895.65000000002,225.89000000000001,7500.0,298.0,"ATM, App, Branch, POS, Web",3,True,3.0,Entertainment & Streaming Lover,Entertainment
C000014,Cliente 0014,Mass,Quito,18,731.54,8,"Crédito Hipotecario, Crédito de Consumo, Tarjeta de Crédito",73703.24,209.07999999999998,7500.0,938.0,"ATM, Branch, POS, Web",3,True,2.8,Tech Lover,Technology
C000015,Cliente 0015,Mass,Ambato,61,474.67,13,"Crédito Vehicular, Tarjeta de Crédito",31354.64,336.85,9600.0,1137.0,"App, POS, Web",2,True,3.5,Entertainment & Streaming Lover,Entertainment
C000016,Cliente 0016,Mass,Guayaquil,47,622.99,11,"Crédito Vehicular, Tarjeta de Crédito",16931.72,514.78,6400.0,612.0,"App, Branch, POS, Web",2,True,8.0,Lifestyle Lover,Fuel
C000017,Cliente 0017,Mass,Loja,46,612.39,12,"Crédito Vehicular, Tarjeta de Crédito",39929.82,342.31,12600.0,1095.0,"App, Branch, POS, Web",2,True,2.7,Health & Wellness Lover,Health
C000018,Cliente 0018,Mass,Manta,42,505.61,13,"Cuenta de Ahorros, Tarjeta de Crédito",4506.320000000001,457.29,6600.0,137.0,"Branch, POS, Web",2,True,6.9,Entertainment & Streaming Lover,Streaming
C000019,Cliente 0019,Premium,Guayaquil,41,1682.29,9,"Crédito de Consumo, Tarjeta de Crédito",15994.16,1069.84,15400.0,232.0,"App, POS, Web",2,True,6.9,Travel Lover,Travel
C000020,Cliente 0020,Mass,Guayaquil,48,600.42,10,"Crédito Hipotecario, Crédito de Consumo, Tarjeta de Crédito",210471.59000000003,244.25,6000.0,439.0,"App, Branch, POS, Web",3,True,4.1,Entertainment & Streaming Lover,Streaming
C000021,Cliente 0021,Mass,Quito,31,997.11,5,Tarjeta de Crédito,3353.95,501.57000000000005,11000.0,1349.0,"App, POS, Web",1,False,4.6,Entertainment & Streaming Lover,Entertainment
C000022,Cliente 0022,Mass,Manta,49,855.9,5,"Crédito de Consumo, Cuenta de Ahorros",16324.010000000002,0.0,0.0,1428.0,"ATM, App, Branch, Web",2,True,,Sin Perfil de Consumo,N/A
C000023,Cliente 0023,Affluent,Quito,41,3313.83,7,"Crédito Hipotecario, Crédito Vehicular, Cuenta de Ahorros",240953.62,0.0,0.0,409.0,"ATM, App, Web",3,True,,Sin Perfil de Consumo,N/A
C000024,Cliente 0024,Mass,Guayaquil,53,599.45,11,"Cuenta Corriente, Tarjeta de Crédito",8653.210000000001,371.89,13000.0,1230.0,"App, Branch, POS, Web",2,True,2.9,Lifestyle Lover,Fuel
C000025,Cliente 0025,Joven,Manta,26,350.0,17,"Crédito de Consumo, Cuenta Corriente, Tarjeta de Crédito",9833.539999999999,364.71000000000004,7000.0,866.0,"ATM, App, Branch, POS, Web",3,True,5.2,Lifestyle Lover,Fuel
C000026,Cliente 0026,Mass,Quito,18,784.0,6,Tarjeta de Crédito,6175.799999999999,182.35,10200.0,879.0,"POS, Web",1,False,1.8,Entertainment & Streaming Lover,Streaming
C000027,Cliente 0027,Mass,Guayaquil,18,1471.27,10,"Cuenta de Ahorros, Tarjeta de Crédito",28707.839999999997,304.86,24000.0,1313.0,"ATM, App, Branch, POS, Web",2,True,1.3,Travel Lover,Travel
C000028,Cliente 0028,Mass,Loja,18,781.82,8,"Crédito Vehicular, Tarjeta de Crédito",36696.98,303.27,8500.0,65.0,"ATM, App, Branch, POS",2,True,3.6,Food & Supermarket Lover,Supermarket
C000029,Cliente 0029,Joven,Guayaquil,28,632.38,15,"Cuenta de Ahorros, Tarjeta de Crédito",10714.03,404.02,14300.0,638.0,"ATM, App, Branch, POS, Web",2,True,2.8,Food & Supermarket Lover,Food
C000030,Cliente 0030,Joven,Quito,37,1002.91,17,"Crédito de Consumo, Tarjeta de Crédito",4647.299999999999,1020.69,33600.0,71.0,"ATM, App, Branch, POS, Web",2,True,3.0,Food & Supermarket Lover,Supermarket
C000031,Cliente 0031,Joven,Quito,48,1683.31,12,"Crédito Vehicular, Tarjeta de Crédito",56946.79,1086.19,25300.0,174.0,"ATM, App, Branch, POS",2,True,4.3,Food & Supermarket Lover,Food
C000032,Cliente 0032,Affluent,Quito,19,2495.57,1,Crédito Vehicular,23967.69,0.0,0.0,1503.0,App,1,False,,Sin Perfil de Consumo,N/A
C000033,Cliente 0033,PyME,Ambato,45,2874.75,6,"Crédito de Consumo, Cuenta Corriente, Cuenta de Ahorros",41144.89,0.0,0.0,1846.0,"ATM, App, Branch, Web",3,True,,Sin Perfil de Consumo,N/A
C000034,Cliente 0034,Premium,Quito,39,4102.36,4,Cuenta Corriente,73582.2,0.0,0.0,,"App, Branch, Web",1,False,,Sin Perfil de Consumo,N/A
C000035,Cliente 0035,PyME,Guayaquil,36,2601.37,11,"Crédito Hipotecario, Cuenta Corriente, Cuenta de Ahorros, Tarjeta de Crédito",95532.27999999998,1720.1999999999998,37500.0,144.0,"ATM, App, Branch, POS, Web",4,True,4.6,Entertainment & Streaming Lover,Entertainment
C000036,Cliente 0036,Mass,Cuenca,18,1709.76,19,"Crédito Hipotecario, Crédito Vehicular, Crédito de Consumo, Tarjeta de Crédito",234048.03999999998,1482.9199999999998,52800.0,247.0,"ATM, App, Branch, POS, Web",4,True,2.8,Lifestyle Lover,Others
C000037,Cliente 0037,PyME,Guayaquil,46,2294.24,4,"Crédito Vehicular, Crédito de Consumo",69516.14,0.0,0.0,1147.0,"App, Branch, Web",2,True,,Sin Perfil de Consumo,N/A
C000038,Cliente 0038,Mass,Guayaquil,44,713.9,9,"Crédito de Consumo, Tarjeta de Crédito",20969.67,218.2,7800.0,26.0,"ATM, App, Branch, POS, Web",2,True,2.8,Lifestyle Lover,Fuel
C000039,Cliente 0039,PyME,Cuenca,37,3507.57,4,Cuenta Corriente,10153.92,0.0,0.0,,"ATM, App, Branch, Web",1,False,,Sin Perfil de Consumo,N/A
C000040,Cliente 0040,Mass,Guayaquil,56,656.11,2,Cuenta Corriente,3944.18,0.0,0.0,,"App, Web",1,False,,Sin Perfil de Consumo,N/A
C000041,Cliente 0041,Joven,Quito,42,591.95,14,"Crédito Hipotecario, Cuenta de Ahorros, Tarjeta de Crédito",194885.16,450.36,9600.0,869.0,"App, Branch, POS, Web",3,True,4.7,Health & Wellness Lover,Health
C000042,Cliente 0042,Premium,Quito,43,7961.83,7,"Crédito Hipotecario, Crédito de Consumo, Cuenta Corriente",428962.33999999997,0.0,0.0,1755.0,"ATM, App, Branch, POS, Web",3,True,,Sin Perfil de Consumo,N/A
C000043,Cliente 0043,Affluent,Quito,36,1339.41,8,"Cuenta de Ahorros, Tarjeta de Crédito",5270.84,353.07,17400.0,1031.0,"App, Branch, POS, Web",2,True,2.0,Tech Lover,Technology
C000044,Cliente 0044,Mass,Guayaquil,33,717.9,3,Crédito Hipotecario,190690.8,0.0,0.0,278.0,"App, Branch",1,False,,Sin Perfil de Consumo,N/A
C000045,Cliente 0045,Mass,Cuenca,18,806.19,8,Tarjeta de Crédito,5246.32,430.09999999999997,14400.0,1386.0,"App, Branch, POS",1,False,3.0,Education Lover,Education
C000046,Cliente 0046,Mass,Cuenca,40,1222.9,18,"Crédito de Consumo, Cuenta de Ahorros, Tarjeta de Crédito",27006.65,1786.07,35100.0,502.0,"App, Branch, POS, Web",3,True,5.1,Travel Lover,Travel
C000047,Cliente 0047,Mass,Quito,44,610.24,5,"Crédito Hipotecario, Tarjeta de Crédito",67225.59,193.89000000000001,3200.0,26.0,"App, Branch, Web",2,True,6.1,Health & Wellness Lover,Health
C000048,Cliente 0048,Mass,Guayaquil,56,1735.56,17,"Cuenta Corriente, Tarjeta de Crédito",56301.98,1428.65,49400.0,1483.0,"App, Branch, POS, Web",2,True,2.9,Education Lover,Education
C000049,Cliente 0049,Mass,Guayaquil,27,1168.89,3,Crédito Hipotecario,226637.61,0.0,0.0,1122.0,"Branch, Web",1,False,,Sin Perfil de Consumo,N/A
C000050,Cliente 0050,Mass,Cuenca,34,760.94,17,"Cuenta Corriente, Tarjeta de Crédito",8948.58,749.53,12600.0,1182.0,"App, Branch, POS, Web",2,True,5.9,Tech Lover,Technology
C000051,Cliente 0051,Joven,Guayaquil,48,621.93,5,Tarjeta de Crédito,1232.0,124.88,4500.0,252.0,"App, POS, Web",1,False,2.8,Travel Lover,Travel
C000052,Cliente 0052,Mass,Cuenca,47,492.23,10,"Crédito Hipotecario, Crédito Vehicular, Cuenta de Ahorros, Tarjeta de Crédito",48293.579999999994,254.93,4900.0,446.0,"App, Branch, POS, Web",4,True,5.2,Travel Lover,Travel
C000053,Cliente 0053,Affluent,Quito,31,1802.1,4,"Crédito Hipotecario, Cuenta de Ahorros",199894.21,0.0,0.0,920.0,"App, Branch, Web",2,True,,Sin Perfil de Consumo,N/A
C000054,Cliente 0054,Affluent,Quito,27,2185.19,8,"Crédito Hipotecario, Cuenta de Ahorros, Tarjeta de Crédito",128070.65999999999,1496.04,37200.0,51.0,"App, Branch, POS",3,True,4.0,Travel Lover,Travel
C000055,Cliente 0055,Mass,Quito,30,1880.45,4,Tarjeta de Crédito,2203.04,642.59,18000.0,1482.0,"POS, Web",1,False,3.6,Food & Supermarket Lover,Supermarket
C000056,Cliente 0056,Affluent,Ambato,56,2546.17,5,"Crédito de Consumo, Cuenta de Ahorros",73790.54000000001,0.0,0.0,1698.0,"App, Branch, Web",2,True,,Sin Perfil de Consumo,N/A
C000057,Cliente 0057,Mass,Quito,25,1511.91,8,"Crédito Hipotecario, Cuenta de Ahorros, Tarjeta de Crédito",101086.72,286.17,10400.0,919.0,"App, Branch, POS, Web",3,True,2.8,Travel Lover,Travel
C000058,Cliente 0058,Affluent,Ambato,34,2848.8,15,"Crédito Hipotecario, Crédito Vehicular, Cuenta Corriente, Tarjeta de Crédito",26495.32,1911.53,66000.0,1071.0,"App, Branch, POS, Web",4,True,2.9,Lifestyle Lover,Others
C000059,Cliente 0059,Affluent,Guayaquil,31,2880.75,18,"Cuenta Corriente, Tarjeta de Crédito",29405.48,2969.5,106400.0,260.0,"ATM, App, Branch, POS, Web",2,True,2.8,Tech Lover,Technology
C000060,Cliente 0060,Premium,Cuenca,18,8409.75,3,Cuenta Corriente,23198.85,0.0,0.0,,"Branch, Web",1,False,,Sin Perfil de Consumo,N/A
C000061,Cliente 0061,PyME,Quito,49,2806.06,6,Tarjeta de Crédito,6142.799999999999,1145.28,46200.0,315.0,"App, POS, Web",1,False,2.5,Entertainment & Streaming Lover,Streaming
C000062,Cliente 0062,Premium,Quito,47,3540.36,16,"Crédito Hipotecario, Crédito Vehicular, Tarjeta de Crédito",167482.81,3840.6099999999997,58500.0,51.0,"App, Branch, POS, Web",3,True,6.6,Health & Wellness Lover,Health
C000063,Cliente 0063,Mass,Quito,21,1134.37,16,"Crédito de Consumo, Tarjeta de Crédito",33297.68,668.3,39000.0,995.0,"App, Branch, POS, Web",2,True,1.7,Travel Lover,Travel
C000064,Cliente 0064,Affluent,Quito,55,3066.82,13,"Crédito Hipotecario, Tarjeta de Crédito",196849.41999999998,2772.37,81000.0,1217.0,"App, Branch, POS, Web",2,True,3.4,Tech Lover,Technology
C000065,Cliente 0065,Premium,Cuenca,24,6186.59,12,"Crédito Vehicular, Crédito de Consumo, Tarjeta de Crédito",109864.37,2130.84,54400.0,336.0,"ATM, App, Branch, POS, Web",3,True,3.9,Lifestyle Lover,Others
C000066,Cliente 0066,Mass,Cuenca,18,1104.18,18,"Crédito de Consumo, Cuenta de Ahorros, Tarjeta de Crédito",16668.38,821.41,29400.0,895.0,"ATM, App, Branch, POS, Web",3,True,2.8,Tech Lover,Technology
C000067,Cliente 0067,Joven,Manta,20,844.75,9,"Crédito Vehicular, Tarjeta de Crédito",17286.62,260.37,16800.0,370.0,"App, Branch, POS, Web",2,True,1.5,Travel Lover,Travel
C000068,Cliente 0068,Affluent,Quito,33,2180.77,10,"Cuenta de Ahorros, Tarjeta de Crédito",39855.28,745.4200000000001,32900.0,1215.0,"App, Branch, POS, Web",2,True,2.3,Lifestyle Lover,Fuel
C000069,Cliente 0069,Mass,Loja,30,658.85,15,"Crédito Hipotecario, Tarjeta de Crédito",228996.86,509.43,13200.0,20.0,"App, Branch, POS, Web",2,True,3.9,Tech Lover,Technology
